Date,Temperature(Min)
01-01-2017,14.3
01-02-2017,17.4
01-03-2017,18.5
01-04-2017,16.8
01-05-2017,11.5
01-06-2017,9.5
01-07-2017,12.2
01-08-2017,15.7
01-09-2017,16.3
01-10-2017,13.6
01-11-2017,12.6
01-12-2017,13.8
1/13/2017,12.1
1/14/2017,13.4
1/15/2017,17.3
1/16/2017,19.4
1/17/2017,16.6
1/18/2017,13.9
1/19/2017,13.1
1/20/2017,16
1/21/2017,14.5
1/22/2017,15
1/23/2017,12.6
1/24/2017,12.5
1/25/2017,15.2
1/26/2017,16.2
1/27/2017,16.5
1/28/2017,20.1
1/29/2017,20.6
1/30/2017,16.9
1/31/2017,16.5
02-01-2017,16.1
02-02-2017,14.4
02-03-2017,16.3
02-04-2017,15.7
02-05-2017,14.2
02-06-2017,13.2
02-07-2017,16.8
02-08-2017,18.5
02-09-2017,16.7
02-10-2017,15.3
02-11-2017,15.9
02-12-2017,15.2
2/13/2017,17.5
2/14/2017,18.3
2/15/2017,19.4
2/16/2017,19.4
2/17/2017,19.5
2/18/2017,20.5
2/19/2017,15.7
2/20/2017,15
2/21/2017,16.1
2/22/2017,14.3
2/23/2017,13
2/24/2017,16.2
2/25/2017,17.7
2/26/2017,13.2
2/27/2017,15.8
2/28/2017,18.5
03-01-2017,20.4
03-02-2017,22
03-03-2017,19.7
03-04-2017,19.6
03-05-2017,20.3
03-06-2017,18.3
03-07-2017,18.9
03-08-2017,20.3
03-09-2017,21.4
03-10-2017,18.3
03-11-2017,17.8
03-12-2017,17.7
3/13/2017,12.8
3/14/2017,15.1
3/15/2017,15
3/16/2017,14.8
3/17/2017,12
3/18/2017,12.5
3/19/2017,15
3/20/2017,17.1
3/21/2017,17.3
3/22/2017,16.9
3/23/2017,16.5
3/24/2017,13.6
3/25/2017,13.2
3/26/2017,9.4
3/27/2017,9.5
3/28/2017,11.8
3/29/2017,10.4
3/30/2017,9.7
3/31/2017,12.6
04-01-2017,13.3
04-02-2017,15.1
04-03-2017,14.2
04-04-2017,14.2
04-05-2017,19.2
04-06-2017,12.6
04-07-2017,14.2
04-08-2017,11.9
04-09-2017,13.9
04-10-2017,13.5
04-11-2017,15.3
04-12-2017,13.9
4/13/2017,14
4/14/2017,12.9
4/15/2017,8.5
4/16/2017,11.4
4/17/2017,10.9
4/18/2017,12
4/19/2017,8.6
4/20/2017,9
4/21/2017,9.6
4/22/2017,10.2
4/23/2017,9.8
4/24/2017,8.3
4/25/2017,11
4/26/2017,11.9
4/27/2017,14
4/28/2017,15.8
4/29/2017,14.5
4/30/2017,13.2
05-01-2017,14.2
05-02-2017,14.6
05-03-2017,11.8
05-04-2017,14.4
05-05-2017,10.4
05-06-2017,10.3
05-07-2017,10.8
05-08-2017,10.5
05-09-2017,9.5
05-10-2017,12.5
05-11-2017,13.7
05-12-2017,12.7
5/13/2017,11.9
5/14/2017,11.4
5/15/2017,9.7
5/16/2017,8.3
5/17/2017,8.1
5/18/2017,11.7
5/19/2017,11.6
5/20/2017,7.4
5/21/2017,5.2
5/22/2017,11
5/23/2017,9.5
5/24/2017,9.2
5/25/2017,10.7
